Date, Open, High, Low, Close
07/31/20, 832.81, 832.93, 817.06, 821.40
07/30/20, 837.70, 840.68, 824.76, 838.06
07/29/20, 845.08, 856.01, 841.62, 853.87
07/28/20, 843.22, 845.81, 833.05, 833.73
07/27/20, 834.98, 852.09, 830.05, 851.68
07/24/20, 826.03, 832.78, 821.05, 830.81
07/23/20, 838.29, 846.52, 827.92, 831.59
07/22/20, 831.54, 839.42, 829.42, 838.65
07/21/20, 823.63, 836.73, 823.63, 830.89
07/20/20, 817.88, 823.80, 816.93, 819.58
07/17/20, 829.97, 832.38, 820.76, 821.47
07/16/20, 827.75, 834.25, 822.77, 825.60
07/15/20, 843.18, 843.86, 822.50, 834.67
07/14/20, 795.62, 828.08, 794.18, 828.04
07/13/20, 818.47, 823.85, 800.39, 800.45
07/10/20, 777.98, 803.54, 777.59, 803.53
07/09/20, 795.14, 796.33, 771.51, 777.93
07/08/20, 795.57, 801.75, 785.30, 791.85
07/07/20, 796.93, 802.43, 787.23, 787.28
07/06/20, 809.56, 811.28, 798.01, 805.84
07/02/20, 796.67, 808.42, 787.87, 790.09
07/01/20, 793.32, 794.55, 772.96, 779.85
06/30/20, 778.37, 795.14, 774.36, 791.98
06/29/20, 778.26, 791.86, 775.48, 785.50
06/26/20, 789.14, 789.95, 768.87, 770.20
06/25/20, 782.06, 800.30, 777.55, 800.29
06/24/20, 801.08, 801.69, 776.90, 782.74
06/23/20, 819.36, 822.37, 810.79, 810.79
06/22/20, 796.97, 805.30, 794.78, 801.58
06/19/20, 815.84, 818.00, 792.34, 795.46
06/18/20, 798.96, 814.35, 797.57, 808.29
06/17/20, 826.32, 828.39, 814.03, 815.56
06/16/20, 836.13, 843.27, 813.93, 830.16
06/15/20, 767.27, 807.61, 764.77, 802.38
06/12/20, 803.30, 812.98, 783.47, 800.65
06/11/20, 800.36, 808.74, 764.02, 765.56
06/10/20, 866.12, 867.89, 843.04, 846.35
06/09/20, 864.20, 869.20, 852.55, 867.83
06/08/20, 880.57, 888.88, 866.47, 887.90
06/05/20, 867.63, 880.39, 853.86, 858.03
06/04/20, 814.08, 833.92, 806.85, 833.71
06/03/20, 807.54, 821.97, 804.32, 817.57
06/02/20, 775.50, 789.49, 774.32, 785.91
06/01/20, 755.52, 767.13, 752.55, 761.80
05/29/20, 741.74, 752.61, 733.91, 749.21
05/28/20, 760.24, 760.24, 740.30, 742.38
05/27/20, 736.59, 754.62, 731.92, 753.87
05/26/20, 718.23, 725.22, 714.56, 718.45
05/22/20, 693.76, 693.79, 682.71, 692.50
05/21/20, 702.21, 711.46, 695.25, 696.52
05/20/20, 702.53, 713.94, 701.10, 703.07
05/19/20, 694.01, 704.38, 686.96, 690.71
05/18/20, 682.08, 699.40, 682.08, 697.24
05/15/20, 641.63, 653.04, 635.71, 645.87
05/14/20, 614.58, 641.48, 605.86, 641.48
05/13/20, 651.42, 651.52, 623.59, 630.72
05/12/20, 671.29, 682.39, 652.01, 652.01
05/11/20, 679.99, 680.50, 665.03, 667.95
05/08/20, 685.04, 702.07, 684.20, 702.06
05/07/20, 668.22, 679.04, 668.22, 671.22
05/06/20, 664.19, 667.50, 650.17, 654.91
05/05/20, 677.71, 689.14, 660.83, 661.38
05/04/20, 651.42, 669.44, 648.28, 667.90
05/01/20, 664.66, 674.04, 655.80, 662.22
04/30/20, 702.92, 707.55, 682.25, 685.03
04/29/20, 691.39, 729.06, 691.35, 725.12
04/28/20, 675.19, 681.32, 657.88, 672.57
04/27/20, 643.00, 666.01, 638.18, 661.96
04/24/20, 652.07, 654.38, 628.95, 636.46
04/23/20, 642.09, 665.90, 640.60, 644.96
04/22/20, 638.64, 639.48, 630.91, 635.97
04/21/20, 621.48, 628.17, 612.20, 623.61
04/20/20, 643.81, 651.98, 633.60, 636.54
04/17/20, 658.29, 663.51, 649.47, 660.67
04/16/20, 640.40, 640.69, 623.21, 634.98
04/15/20, 641.10, 641.39, 626.32, 636.37
